ntop	max_overlap	p_max	max2_overlap	p_max2
50	0	0.999999999967933	0	0.999999999967933
100	1	0.5440626130845321	0	1.0000000000195979
150	2	0.5258417826583293	1	0.8303706522866334
200	4	0.3793861455406094	4	0.3793861455406094
250	7	0.21593717113122962	7	0.21593717113122962
300	16	0.0018767504269965782	12	0.04973574193187149
350	21	0.0006226063217661232	17	0.015704943132075475
400	27	0.00013962438855221024	23	0.003572756119305896
450	38	4.739800963776571e-07	31	0.00026458770766477123
500	51	2.5073002549361665e-10	41	5.319813607657298e-06
