BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
LDB2	NUP62CL	TMEM151A	GALNT13	RAMP3	SV2A	IGF1	CCDC3	ACTA1	AGR2	ASIC4	PTPMT1	COX5A	FABP4
ART4	EPG5	PLAC1	CCL21	ENTPD2	METTL22	COL22A1	SULT1E1	RCAN2	LILRB5	SLC30A10	RANGAP1	RABGAP1L	ARHGEF15
LRG1	TRIM23	MGARP	SCD	GPBAR1	PPM1M	MEIS3	FEV	PPP1R1A	CLEC7A	PKLR	CSTF2T	HSPA1L	PTPRM
KCNK6	IL1RAPL1	CRB2	OAS2	CD82	TBX20	PCSK2	SEPT4	SPHKAP	CTSS	SNX22	APBB3	FAM216A	TCTEX1D1
FOXC1	CLDND2	ABCB1	PSMB9	ANGPTL4	CCDC171	GFRA3	ITGA1	RBM24	LYVE1	PITX1	ANG	KATNAL2	SOX18
THSD7B	IQSEC1	SLC9A3R1	THBD	MYH11	PIK3IP1	LOX	MYLK	BMP7	ADAP2	SLC39A8	LRRC23	TIGD5	CD93
POSTN	LARS2	SOSTDC1	DACT2	MEGF9	MIA	ABI3BP	TNFSF15	LRRC10	ALOX5AP	RSAD2	TAF9B	MYO1E	APOL4
OLFM3	MALT1	GALNT9	SEMA6A	EXOC3L2	NAB2	FBLN1	HAAO	PPARGC1A	CD74	SLC14A1	HES6	COMTD1	MCF2L
C4orf51	MAP6D1	IL18	GGACT	POF1B	RGMA	C1QTNF2	OLFML2B	FHOD3	APBB1IP	RHD	POLL	ABHD17C	ARHGEF28
RADIL	KIAA1324L	NMU	ARHGAP28	WNT11	TSHZ2	NTF4	ETV4	HAND1	CCR1	TUBA4A	FAM117B	PPP1R16A	CMTM2
RNF144B	MEGF8	CGN	IGDCC3	MUC4	RARG	COL12A1	SUSD4	SLC27A6	LYZ	C11orf21	BCCIP	NREP	GALNT18
