BMX	PLAGL2	CXCL14	TSPAN8	NPPC	COL9A2	TCF21	NGFR	MYOM1	SPP1	MT1H	ARMCX6	DNAH11	CLDN5
ZNF579	HSPH1	MTCL1	SBF1	RCC2	MCUR1	SCAMP2	DPAGT1	GPBP1L1	RFC4	ZC3H12A	CHGB	ST8SIA4	BZW1
LY6E	ZNF681	JTB	JAGN1	UBXN2B	NT5C3A	FBXL4	CNTNAP3B	NABP2	UBXN2A	PFDN1	PCDHGA7	KCTD14	FEM1C
IER3	FAM171A1	CSPP1	PPP1R11	PABPN1	DLGAP4	EFR3A	SH3RF3	TTF2	USP21	DAP	AATF	APELA	SYT7
HOMEZ	CCDC85C	ADGRA3	HSP90AB1	MRM2	SMIM19	MLH1	NRBP1	UQCRHL	ZNF250	DTX4	FBLL1	GNG10	ACAD9
LIN9	NSUN2	IFT74	NDUFC1	MEX3C	DPY30	UBN1	OSGEP	SPRY3	DYM	CENPBD1	ERP27	CX3CL1	FANCE
PRRT3	TFDP2	GCSH	HPRT1	SLC31A1	NCAM1	TAF12	ANKIB1	COQ9	IVD	OMA1	MUC4	WBP1	ERCC4
TNFAIP8	AKAP13	FOXN2	TMCO1	GLTP	CAD	PSD3	CHTF18	TAF9B	RDH11	PHF12	DNLZ	SLC4A8	CRELD2
MSH3	DPF2	FLNB	YY1	DSTN	IGSF5	KATNBL1	DHX36	CUL4A	SPPL2B	COX7A2	ADAM32	DEPDC7	EML4
SRSF11	RPH3AL	F8A1	HCRTR2	ZNF175	TRA2A	MED14	BCAS3	ZDHHC8	GALNT10	KDM4C	PTGDR	PCDHGB7	CD99L2
CYB561D2	NAA50	SEC24D	RSL1D1	NENF	ANAPC2	JOSD2	PRICKLE4	ZNF697	PCYOX1	RNF115	GOSR1	KLHL30	USP8
CNBD2	ZNF263	PHC2	HNRNPA2B1	IRX3	NSDHL	JTB	OXSR1	TAP1	UBXN8	CDKN3	LRP8	PSMA4	SORBS1
KRTCAP2	ALKBH2	HS6ST2	YBEY	RPA1	B4GALT3	LASP1	KDM5A	ACOX1	SNRNP35	WDR34	CD59	NFAM1	GBP3
ABHD14A	SMAD6	ZNF433	TBCA	C2CD2L	FHL1	PRR4	NUP54	ZNF730	MIER2	MRM3	RIMS3	CNNM4	ZNRF1
AK9	RNF187	DPAGT1	RGS5	CEP350	OLFML1	IER5L	RAB5C	TMEM8B	ANXA11	SF3B1	GALNT3	GHRL	BARD1
ZNF414	ZC3H13	ZSCAN18	MRPL27	ZNF462	SLC39A10	UBXN8	CNOT10	PPP2R5C	ZDHHC20	SOX12	FAM83B	HRK	SRRD
REEP6	ERCC2	IRAK4	ZMYM3	CLSPN	EMD	DTWD1	AKAP13	DHRS4L2	RBM27	HMGA1	NOP14	CATSPERG	VPS18
ST3GAL3	TMEM203	ZNF444	DDX41	JMJD8	S100A16	GNG2	WWC3	HSF1	TTC14	TMEM254	SMIM24	HSPA4L	FKBP1C
SETD9	TESMIN	LTV1	RHOBTB1	KCNS3	RING1	NMRAL1	MTFMT	RAPGEF1	ZNF528	C18orf32	SGCG	MRPL38	MED6
RPF1	NDC1	UNC119	AP5M1	MUTYH	RNASEH2C	COPE	UBQLN2	UGGT2	NPLOC4	LRP4	SYCP2	AP5B1	TTBK2
ZNF497	UBTF	MFSD14C	ENOPH1	USP34	SIAH2	NBPF14	TNFSF12	PLA2G15	PPID	PCDH1	ACTR3C	NXPH2	ARHGEF1
AGK	MGAT5	ZNF596	DDX49	DLG5	ZNF217	RAD51AP1	SEH1L	TFE3	SUMO3	TIMM44	C3orf67	SH3RF3	IFFO1
B3GAT3	FUBP1	P2RY11	IRF2BP2	AFTPH	USP42	ZNF345	MYL5	SIAH1	ANKS1A	TRIP4	SMIM10L2A	GPN3	LIMS2
DKK1	GALK2	DPM1	GNPAT	BIVM	CD81	PPP1R15A	TOPBP1	SENP8	ASAP1	ARMC10	SYNE3	GALNT12	WSB1
SPIN1	PSD3	UBE2D1	DALRD3	SSBP3	SUPT7L	TMEM205	CLPTM1	RAF1	AP4B1	CITED4	SCN2A	ZNF841	VPS53
DTX3	ZKSCAN4	RASA2	DDX3X	MBD5	FBXO9	CWC27	IMPAD1	ZNF276	GLG1	NR1D2	HIST1H3E	S100A2	MARK3
ZNF814	NOL8	CEP104	PRDX6	GPATCH2	IRF2BPL	FANCG	COL3A1	COQ2	MIA3	LIPT2	HESX1	CHMP4C	CWC27
WDR54	SURF1	THRAP3	GSTO2	ARF6	ZC3H6	CDIP1	GNRH1	ASCC1	MTCH2	KDM5A	TNFSF9	ANXA2R	KLHDC9
GMPS	MAPK6	RALBP1	MFSD2B	SLC25A26	ZYX	NDST4	OLFML3	UBL5	TNK2	SIVA1	ZFYVE21	KLK8	STARD13
PPP1R12A	JMJD8	G2E3	PRDX1	MIPEP	PDCD2	LYRM9	AASDH	DNAJB4	ZMYM5	STK32C	UBAP1L	FANCA	RAB6A
MIER1	NME3	RSPH3	KRBOX1	ZNF638	DBF4	RIT1	MYL12B	POLR2L	GNL3L	LYRM9	ST6GALNAC5	ZNF214	RIC8B
IQGAP1	FSTL1	SLC35C1	PAK2	PIK3C2A	DLAT	RNF215	TSEN34	CSE1L	GEMIN4	TTC17	PEBP4	DERL3	CBWD3
C1QTNF4	RIOK3	C19orf12	RPL27A	GLS	AK3	TSHZ2	YWHAB	VDAC3	API5	IFT122	NLRP12	NRXN1	TMX2
AIMP1	PPP1R10	KCNMB3	RPL24	CASP8AP2	CLUAP1	PLXNA1	BOP1	DDX1	AARS	ANKRD45	TRPV1	UAP1L1	FAM172A
MAN2C1	CFAP20	RFT1	TTC39C	TRAM1	SLC39A3	CREB3L4	ITFG1	NECAP1	DPP8	NKAP	FAM3A	MTMR11	NAV1
MDFI	TMX4	TSEN34	MRPL37	TOMM5	WDR83	LZTR1	ZNF619	LDB1	RRM2B	HMGXB3	INCA1	TMEM182	MFSD6
GOLPH3	TMEM106B	RPS6KB2	RPS15A	ARMC8	MCRIP1	CENPB	LRPPRC	TPP2	PPP2R5B	RIPK1	FKBP10	ZNF132	SGK1
DNAJC24	UHRF1BP1	ATG16L1	CCT2	TLN2	ZNF326	HEMK1	RNF168	PAF1	DUSP28	ARL17A	NOCT	KCNAB2	SET
NSDHL	REXO4	C7orf26	PRPF40A	GIGYF1	ACP1	OTUB2	PIGT	OSR1	INPP4B	GMCL1	RAD51	TDRKH	EPN1
TSPAN14	THRA	B3GAT3	SFMBT2	AHNAK2	APEX1	BCL7A	STARD9	TTC7B	SLC25A16	ZNF654	GVQW2	LRG1	PRPF8
TRIM44	ARID4A	NIF3L1	CHMP7	HEXIM2	TNKS1BP1	CUL1	TIMM21	GLI4	PARL	ZNF799	MARVELD3	PANO1	AKAP9
PPP1R3E	NFIC	FUZ	RBBP9	CLEC11A	TECR	TMEM115	CDO1	HSPBAP1	NCAPH2	PPM1B	OSGIN1	IKZF2	RABAC1
SPATC1L	SCAF1	ZFP69B	TRAPPC1	SDCBP2	KRTCAP2	MED8	COX15	PSMD1	EED	NR2C1	EDA2R	ZNF233	KAT5
STAG1	ZNF44	FIGNL1	IDH2	ACTR8	GRSF1	PTPN13	FDFT1	BOLA1	WDR41	CCDC28B	HTR2A	ARHGEF5	PIK3R2
MMADHC	SLC25A12	SLC6A16	RAB10	RPS6KC1	SH2D4A	ZNF691	NEDD4	DCXR	ZNF26	HNRNPC	LEKR1	RELL1	ZNF425
AQR	CISH	AKR1A1	ST13	DMWD	TMEM56	SLC35A4	IMMP2L	SKA2	AGK	DCTN5	ZNF630	C1orf74	LCP2
CORO1B	TFAM	C18orf32	RPS3A	RDH11	PRR14	ZNF300	MAEA	CAPN2	CARD19	ARHGAP12	PROM1	FGD3	MIER2
FRA10AC1	GPSM2	AGAP1	CDK20	MRVI1	CCDC12	RIC8B	VAMP1	MAML3	MCPH1	PHAX	MEST	HCN3	ZNF18
ARHGAP42	TEAD3	CST3	GLUD1	RHOG	SMDT1	NSUN2	CDK10	VILL	SREK1IP1	RNPC3	GPR157	TNFRSF10A	KBTBD4
C3orf33	C17orf75	PYCR2	RPA2	CLUL1	AGGF1	IKBIP	RMDN3	TOLLIP	YY1AP1	EDEM3	ACTL10	WIPF3	LRRFIP1
ADPRHL2	PDE8A	ZC2HC1A	AMPH	PRTFDC1	CSTB	SUPT7L	KBTBD7	DPP8	MAML3	TMEM69	SCAMP3	SOX15	PBDC1
HNRNPU	SLC22A5	ZNF655	CHID1	PPP5C	TLE2	SPG7	MCMBP	PMVK	SRPRB	ZC3H18	FAM149A	ZNF410	DDX5
TPRG1L	GTF2E2	DEDD2	UBE2V2	ASNSD1	ATG4B	FAHD2A	TBC1D31	ZNF675	ATG16L2	ZNF268	GPAT2	ELOF1	SAP30
PLEKHB2	USP10	METTL17	SNX12	POP4	DDX24	C11orf49	MRPL48	FBXO38	NEURL2	EIF1AX	IRX6	MELTF	AP1S2
ARAP3	TBC1D12	SEC61A2	EEF1D	ZNF814	HIGD2A	TPGS1	MOSPD2	ATP2A3	AMD1	ZNF565	SDR42E1	GRID2	PLD6
FSTL1	TMSB15A	WTAP	RBM7	AMDHD2	VPS51	ACAP3	U2SURP	STMN1	CHML	DAXX	CDH23	SLC16A8	CUL7
FGFR1	MED6	KRBOX1	CCND1	CCNY	C9orf78	TOR2A	HSPB11	LRCH3	HOMER3	SCYL3	NDST2	NLRC3	PRRC1
CCDC22	ASAH2B	SIL1	SRP14	CHMP7	LAGE3	ZBTB48	SLC20A2	PLEKHF2	SF3B2	KIAA0753	SPATA17	CC2D2B	PDIA3
APRT	PSIP1	ZNF880	CNBP	HEXA	UBE2Q1	CEP170B	KXD1	HSPA4	ZNF18	HYAL3	TMEM59	DHX58	DYNLL1
UBOX5	NOP58	PIK3R2	FTH1	CAND1	MAP4K4	CLIP1	E2F3	ZBTB17	PNP	MMADHC	LCN1	ZC2HC1C	PLAU
FBXO44	TBRG4	H2AFY	ERGIC2	RAD51AP1	BAZ1B	MYO1B	MGMT	PPP2CB	SHQ1	PEX14	GINS1	TMEM35A	CCNG2
MOSPD3	PRRC2C	DIAPH2	RPL37A	UPRT	AMHR2	PIGL	SH2B1	PRRG1	PLIN2	SLTM	XYLB	FAM71D	ATP6V0E1
DNAL4	NT5C3A	ALG12	SAFB	C1orf198	MFAP4	PGGT1B	MTA3	UNK	DPH6	GGA1	PLD6	VEPH1	OCIAD1
ZPR1	FIGN	SF3B2	CCDC115	CBX7	DFFA	RFXAP	ZNF721	GFM1	ZCCHC8	STRIP1	TENM2	SIPA1L3	TMEM164
MAPRE2	SMPD2	PDE8A	UFC1	PPP1R18	CAND1	ENTPD6	ARHGEF1	ATPAF2	ZNF581	NAA10	AK8	ERVMER34-1	FAM133B
LDOC1	MBOAT7	AP1M1	APEH	EIF2S1	SARS	TMEM99	RPN2	PSME2	PTPDC1	TSHZ2	PFN4	CEND1	TRIP12
PTCD2	AUH	TRIM21	ABRACL	UBALD2	POLD3	CTSA	SORT1	MAEA	ATP6V1H	EMC9	SEC14L6	GDF10	PIN4
NKIRAS2	UBR1	CNTN1	NPHP3	NMB	KLHDC2	ST3GAL2	KHSRP	RHEB	ZNF503	PCF11	AGAP2	ASPHD2	OXR1
UBE2V1	HACD2	AMN1	LPGAT1	DNAJC18	DHRSX	ZFP1	LRIG2	OSBPL2	GOLGA5	WDR44	GLP1R	AKR1E2	DNAJC1
DAB2	THG1L	SRRT	PSMA1	ANAPC7	OSTC	FANCI	VPS4A	LCMT1	COPA	CBX6	XRCC2	LRRC37A3	CNPY3
SYNRG	ZNF682	ZFAND3	ECH1	DNHD1	MRPS18B	GGPS1	GPR89B	TMED5	RFC1	LONP1	CA13	PRICKLE4	CLIP1
PSMD5	MRFAP1L1	SLC35A4	JOSD2	AVPI1	TMEM43	LIN9	ZNF532	GTF3C6	SP2	ALKBH1	SLC52A3	LMO3	SLC31A2
MBIP	CD101	GPD2	MTCH1	CD63	SCAP	CENPN	MAGOHB	UBQLN2	IRS2	SLC9A6	RGS11	NRL	OGT
SMIM12	NAT14	FTSJ1	SNX3	NISCH	PQBP1	LAG3	SPIN1	PICALM	RTCA	EIF5B	SEMA3E	ME1	SEPHS1
C4orf33	EXOC4	NUCKS1	RPS27	ZNF629	RCHY1	SPIDR	EGLN2	APC	VAMP3	NCOA3	ARNTL2	NRCAM	YARS2
UBAP2L	GTPBP1	SCOC	MDFIC	TXNDC12	FSIP2	LRPAP1	CCDC66	ZMYM1	DNAJB11	ALAS1	GDF5	DHRS2	HNRNPH1
NCOR1	SUPT16H	CEBPZOS	EIF3L	DUSP4	PRKACA	NOC2L	FAM114A1	XPA	ATP11B	HRAS	FEV	SMPD4	ADAT2
PRRC2C	PTPA	B3GAT2	PSME1	TMEM115	SERP1	TCEANC	PRMT5	NDRG3	C17orf58	IREB2	STK32B	LAMC2	NBPF12
UBQLN2	NUDCD1	TMEM154	CAPZB	CHRAC1	CDC42SE2	DDOST	ZADH2	ZNF649	TIMM21	FBXO38	PQLC2L	ACTRT3	ZZEF1
NINL	COL4A2	KDELR1	PPCS	RAVER1	HEATR5A	MDP1	SLC26A2	ABCF2	TIGD1	PSAP	C4orf51	SLAIN1	DERL1
PSIP1	DOCK1	RNH1	PRKACA	APBB1	USP22	RPN2	TRMT10B	TIMM8A	PIM3	ZFYVE1	KCNK3	SLC25A30	CGGBP1
MAD2L2	ASPSCR1	USP11	TRAF7	ELMO1	ASPSCR1	CCDC71	MIPEP	TUFT1	OCLN	SLC31A1	ZNF385B	LZTS1	HNRNPU
TRAPPC4	RPF2	CNPY2	DYRK1B	ASAH2B	PPP4R2	TCTA	TTC21B	DCP1A	KRCC1	NCK1	AARS	MRPL48	KMT2C
ZYX	UTP3	GSTP1	NDFIP2	ARHGEF1	SWI5	RCE1	RHOG	ZNF140	UTP6	PDCD11	NAP1L2	INPP5J	NT5C3A
RUFY2	KLC4	TM9SF2	DHRS4	ELF4	BRINP3	IFRD1	MORF4L2	KATNA1	SLC26A2	MAPKAPK3	DPF1	CFAP53	NUDCD2
LDB1	MMAB	H2AFY2	RGS16	LAPTM4A	FAIM	HGF	PGAM1	ZNF213	HSPA14	LACTB2	SLC9A7	SLC16A10	PIAS3
DPM3	ZNF830	RNMT	MRPL47	TTC39C	PNPLA8	NHLRC3	SCO1	THOC3	SLC12A7	ZNF585B	QRFPR	RWDD3	PGPEP1
DOK1	AK4	RAB2A	TIMP2	SLC20A1	TBC1D9B	MPHOSPH6	TNFAIP8	TRPC4AP	MOB3B	ORC2	FAM86B1	C2CD4C	GCNT1
PIP5K1B	BRF1	ADGRL1	DGKZ	CEBPZOS	WDR5	SCAF4	SRSF11	TMEM187	ARSD	FUCA2	NRIP3	GALNT6	U2SURP
WDR53	MRPS18B	BCR	SUCLG1	LIPA	BACE2	NUP107	FAM200B	PIP5K1C	PTPMT1	FCGR2B	ESCO2	C7orf61	ACBD5
BASP1	VPS13C	DAB2	PFDN6	FBXL7	OLA1	NFS1	CHD4	RAP1A	WDR43	ZNF12	CSMD1	KCNJ3	FMR1
C2orf15	DKK3	EIF4A2	SDHB	C5orf15	NDUFA11	SMARCD2	YWHAQ	ANP32E	PGP	PELO	FRAT1	GCOM1	RNMT
YPEL5	TOMM34	PRKAG2	CHST12	GAK	AHNAK	HMGXB4	PSMC6	CABLES2	ARIH1	MRPL52	SPC25	PCYT1B	G3BP2
TTC17	MAP4	RGS9	IFT27	ANXA1	PFDN1	ZRSR2	PUS7	DNAJC13	EFCAB11	ZCCHC17	ZNF41	BORA	NBN
DNAJC1	ZNF397	AFF4	VDAC3	RLIM	MRPL51	METTL6	PPP2CA	BCAS3	NSMCE2	TGM2	DDIAS	TMEM155	DCAF15
DNAJC25	NEDD1	DLGAP1	COX5A	MPV17L2	G3BP1	ESF1	POLRMT	UBXN2A	OXSR1	FAM114A2	PRDM6	PRR16	MAGOHB
NHLRC2	NFXL1	C5orf46	DARS	TMEM14A	MRPL34	JMJD4	RBM28	TPPP3	ZNF469	RNF4	CCSER1	GPR63	TMEM99
CDIPT	POMZP3	UROD	MPP1	ADPGK	NIF3L1	ADCY3	FAM13C	ATG16L2	ATXN7L3	UGGT1	PDE6A	TWIST2	MED31
CYB5R1	ERICH1	ABHD14A	MED10	DYNC1H1	PDCD7	MPHOSPH10	ZDHHC16	SMIM12	NUMA1	CHD6	CHST6	AGAP9	ZFP41
EML2	TMEM107	ATXN7L1	TTC5	FASTKD2	BCL11A	KCNRG	N4BP2L1	CTNNA1	TRAPPC3	C14orf93	PAM16	STS	CSRP1
UBE2I	GTF2H1	TICAM1	POP5	HIST1H4J	ZFP36L2	C8orf88	SEC23A	TMEM127	TAF12	PPP1CA	ZNF730	CBFA2T3	TRIM3
RWDD2A	NBPF19	HOMEZ	RPLP1	CALCOCO1	MGMT	CTTNBP2NL	HELB	NR2F6	PRPF4	MRPS11	GABRA1	LHX2	ZNF254
STT3A	SMAD2	ZNF511	WDR45B	MIIP	PLEKHA2	ZNF445	PLPP6	SCAF11	NR3C1	YTHDC1	RAB3B	PLXNC1	TMEM201
EXOSC2	PRKAB1	WDR73	NDUFA12	PRIMPOL	AMZ2	PWP1	MXRA8	FAM122A	MORC4	KPNA4	GALNT16	TBX22	PRRC2C
MSANTD2	ZSCAN18	SLC35B3	CNOT11	KCTD18	VIPAS39	ZNF131	SOX13	TMEM176A	FBXW2	HINT2	PCDHGA8	PRDM10	FBXL17
BTBD9	GATA4	GPR89A	ELAVL1	NOMO3	RAD50	HELZ2	CAPNS1	MRPS18B	GPATCH2	SEH1L	CORO2A	PARP10	CCNT1
HS1BP3	AMT	WDPCP	EBF3	PPME1	RBM3	SDF4	BCLAF1	MRPS12	RNF138	STX4	TSPOAP1	RPS6KA6	KIF20B
ZNF74	VSIG10	MYL9	TNPO3	APCDD1	CLPTM1	TNFSF12	RYK	PPFIA3	TMEM170A	BTBD9	LYG2	ZFAT	SRRM2
ANXA7	SEMA5A	PCDHB14	NDUFV1	ST6GALNAC4	HSP90AB1	CCDC43	ZNF83	GADD45G	PPP1CA	ZNF627	TOB2	MAP3K10	MGST3
RBM42	CPT2	REEP6	YTHDC2	SPRYD7	SLC47A1	PRKCE	SLC35A2	RAB35	RNPC3	NIPAL2	H3F3C	SLC19A2	SEC13
TEX30	HNRNPM	KDM5A	ANP32B	DNAJB14	MMADHC	IDI1	ERP44	SMIM10L2A	RPRD2	TGFBR1	EPHA5	ACAD9	SFSWAP
CASC4	POLR3C	SEMA6D	PEX10	RARA	SSBP4	APEH	VDAC1	TMEM44	PRNP	LRFN3	CFAP44	SEMA4F	SETD5
MANF	RHPN1	MAU2	MKKS	LOXL2	SLC9A6	MED30	C19orf47	RAD21	COMMD4	NOC4L	EFHD1	ZBTB7C	LAMTOR3
WDR13	UBE2V1	THAP4	TGFBI	YDJC	UMPS	MRPS30	MRPS23	UBXN11	PRDX3	NUDT22	RSPH14	KIAA1211L	RBM18
ZNF260	TMEM263	HMGA1	TMED9	NRDE2	BMPR1B	RRM2B	RBM8A	TUBG2	TCERG1	PUF60	CHD9	HSD11B2	RIC1
CCDC92	SLF1	ATP1B2	C19orf12	WRB	MRPL14	DIDO1	TRIM41	SOX6	SMC2	TRAM1	TRIM61	CARNS1	TMEM237
DIMT1	PGAP1	MTMR2	MRPS30	CCM2	ORAI2	AARS	MLF2	DNAJA2	MGA	COG4	FRMPD2	MARCH1	DPAGT1
RPTOR	CTSZ	POLD2	CACYBP	ACOT9	NCOA4	RUBCN	BCL2L2	PHF1	CASP3	TRIT1	TM6SF2	C6orf132	BRMS1L
ELP2	GPBP1	SLF1	RABEP1	DHRS4	VWC2	NFIC	ZFYVE19	RIMKLB	B3GNTL1	MVP	KIF11	ELF3	GSK3A
CCAR2	MECP2	E2F4	TRIOBP	SFR1	SURF1	SRSF8	POLDIP3	ITGB1BP1	BNIP2	OS9	LRRK2	ZNF485	THOC1
ATG3	ZNF709	ZNF256	FDFT1	MARCH6	DGCR8	CDCA4	METTL2B	GPRASP1	HBS1L	UBR4	PLEKHH1	UROD	AP2A1
IFIT5	ZNF331	NME3	SLC4A7	EEA1	MFSD10	ATG101	MORN2	MRPL20	SYNM	FBXW11	PRPH2	TCP10L	C20orf96
U2SURP	LRRC14	TUSC2	WDR36	ZNRF1	CLNS1A	C12orf49	HHAT	TIMM8B	RBAK	DHX9	PIH1D2	MET	DPH6
ARHGEF9	SERBP1	TMUB1	HNRNPLL	NEU1	ZNF559	NAXD	SSBP4	PHF20	TTC17	TPP1	PSD	PAPPA2	ILF3
DCAF8	NDRG4	PMM2	HAGHL	FAM86B1	REXO1	TRIM16	GARS	MAGEL2	TRMT1	EDRF1	ARHGAP11A	PRR29	TMEM267
DKK3	KDM2B	GAB3	SCOC	SAMD5	CEBPB	ARL9	UBE2K	TXNDC9	NLK	HS2ST1	SEZ6	PCDHGA12	CFAP20
PPWD1	ZADH2	UEVLD	EIF5B	BPI	CPQ	UNC50	ELAC2	MSI2	RAB11FIP2	PCCA	TOX2	NBPF3	RNF34
ZNF836	NEDD4L	DNAJC30	C14orf119	KLF3	GGPS1	CD99	ADCK5	ZNF485	ENDOV	DPM3	TLR5	RD3L	IL27RA
FKBP11	DGKD	DDRGK1	ANO4	PTRH2	NFKBIB	CXorf40A	DISC1	XYLB	BOLA1	OSBPL11	MARCH4	GSDMA	ARID1A
SEC61A1	ZNF7	SLC35F5	NDUFS4	RCC1	POLR2J	RNFT1	FIBP	RNF149	STT3B	METTL4	ZMAT4	KCNJ14	SNTB2
WDR12	ZNF710	PPP2R2B	GLIPR1L2	CCDC7	ZBTB44	SRSF6	RAP1B	ARV1	CIART	GPALPP1	CDYL2	TMC7	EBLN2
POMGNT1	FURIN	TRIM62	DNMT3A	CNOT4	USP32	TWF1	SRP54	COMMD7	TRIP12	PYM1	PSTPIP1	MKI67	YME1L1
SARAF	C6orf52	HRCT1	SUMO1	PCYT2	FLRT2	PHKG1	NDUFAF4	TTC12	SMARCA5	SMC3	PRR22	CELSR2	MED14
RUBCN	PUSL1	ABL2	KRIT1	FZD3	LANCL1	MFSD4B	PCMT1	BRCA2	RAB9A	SGSM2	SLC35D3	ELAVL2	SRSF9
ATXN10	TOPBP1	ZNF17	SNU13	ZNF576	MAP4	MRPS31	MORC4	TATDN3	USP4	ARL8B	SEC24C	C17orf107	ULK2
TUBA1C	WWC2	BUD13	RCC1L	ZDHHC11	CDC37	SERINC1	METTL17	TMEM237	EXTL3	PEX11B	MELK	AMPD3	ATRX
UBL7	DMTF1	ACAT2	B4GALT4	ENTPD5	ARPC1A	MANBA	USP22	TMEM86B	AP3D1	GSTK1	MTCL1	F3	CERS2
GALNT2	NCOR1	GPALPP1	LIMK1	MAP2K4	GRASP	MED19	NUDT5	MBLAC2	CACNB2	MORF4L1	EXTL1	LETM2	KDM2A
CYB5R3	ZNF526	NELFA	MYLIP	BTBD7	ZNF580	LRRC3	USP8	BCL7A	ICA1	PRKCD	TNFRSF11B	NELL1	THRAP3
NXN	CNOT3	IFT27	VBP1	CENPBD1	DAP	SH3BP5L	CENPE	CPNE3	PRDM2	PPP1R2	RAB36	MRM1	GBA
ANAPC13	HNRNPD	ZNF684	OTULIN	SEC22B	IGF2R	TUSC1	RPGRIP1L	APOOL	ZFAND5	MBD3	CSF2RB	FANK1	MED22
STX4	TCTE3	PLCG1	SPSB2	DGKA	ATR	ALS2CL	TSSC4	HDGF	CDC5L	APEH	GBA	DPP6	YWHAB
POLB	BAG4	GABPB1	HINT1	SMAD4	TRAPPC6B	ZNF595	TGFB2	ILVBL	WDR33	LCOR	DYNC1I1	POLE2	GLIPR2
CSRP1	NOL10	MEIS1	SUCLG2	MYBBP1A	KAT6B	STS	PPRC1	TIMMDC1	DUSP6	SUPT16H	FANCD2	ELF4	MAPKAPK5
NFAT5	B4GALT4	GARS	PEBP1	C1QTNF2	SRP14	STARD8	PYM1	MRPL39	MED15	SCOC	MICB	FZD9	HUWE1
ARFGAP1	PHKG2	NCAPH2	DCTPP1	RNF13	MED10	DPY19L3	RBM25	DYRK4	ADAM17	POLR2F	PCDHGA3	PTPRT	WDFY3
ZSCAN30	SRP54	FKBP2	FIS1	PTTG1IP	C20orf27	TECPR2	PLXDC2	MST1	VPS16	PARD6B	TCF15	OSER1	ACBD3
UFSP2	PRKAR2B	PI4KB	RNPEP	PQLC1	HMGN1	OPHN1	GOLGA6L10	KIAA0232	PSME2	NECAP2	CDKL1	DIRAS1	GALK2
BABAM1	U2SURP	SEPT7	LRRC41	POMGNT1	UTP23	GGA1	PKIG	CAPN7	UBR7	TEFM	NLGN3	TRAPPC3L	TOMM70
PIK3C3	ASIC1	POLR3E	RPL7	ZBTB24	ADIPOR2	SRRD	SPIN4	GOLGA4	SHB	EMD	CHRM3	SLC47A1	SLC12A6
EIF4EBP1	WDR24	TMEM107	METTL3	TNFSF9	STEAP3	SOCS3	RHBDF1	SPAG16	COIL	USP49	STOML3	SLC13A3	MCM6
ATF2	RMDN1	EAPP	ZBTB7A	PRRC1	IMMP1L	HERPUD2	CCDC107	EMC8	ETFB	NUP214	SYT13	NEMP1	CENPT
ATRAID	DDX49	TMCO1	ACBD5	WDR3	NSRP1	BNIP3L	CXorf56	DDT	PANK1	FBXO25	ZNF491	KLRG1	TMEM167B
IL10RA	AURKA	PPIB	ZNHIT6	G2E3	FAM110D	ATF1	ZNF48	IER5L	CENPL	ILK	MDGA2	TKTL1	PIGF
HDAC3	XPC	SPTY2D1	KLHL21	GIMAP2	C2CD2L	NASP	THEM4	BRD4	EGFL7	TOE1	SLC41A2	U2AF1L5	SYS1
UBR4	GABRB3	PCGF3	RBPMS2	FBXO4	NPM3	GTF3C2	ELP6	YY2	ZNF395	ST7L	SPIRE2	P4HB	AGFG1
NEK1	PCF11	YIPF5	LRRC2	FUBP3	NUBP2	CHMP4A	GPN1	SH3BGRL2	SERP1	NDUFB3	PALM2-AKAP2	COL17A1	SOCS4
FBLL1	PPP1CC	TBC1D24	CSTF3	GPALPP1	NCOA6	DNAJB5	TNFRSF1A	VCP	EML3	HGH1	DISP2	EXOC3L2	ZSCAN16
ZNF622	FAHD2B	STC1	SH3BP1	PRPSAP2	HYPK	RTN2	PSKH1	NOMO1	CLTB	ING5	PRRG2	CCSAP	SEC24D
PALM	ATP6V0A1	EIF3M	OAT	HELQ	CLTA	SCPEP1	CDC123	C6orf203	NOC3L	MED26	LAG3	RTKN2	ZNF526
ZNF607	KLF9	SZRD1	SPG11	STAM	NDUFS4	UBTD1	RAC1	VBP1	PXN	DNAJC19	CMTM2	KCNJ12	DNAJB6
TBCEL	ARIH2OS	PHTF1	COPB2	RNF145	CCT8	DDX56	NOP56	CCDC106	ZDHHC4	XPO5	HS6ST2	ZNF311	URGCP
ZNF613	KCTD20	FKBP4	ZNF880	ZNF317	CALM2	ZNF268	PGGT1B	IL17RC	SCAMP3	CLCN6	EPHB1	RNF157	FANK1
ZFPL1	TAOK3	UNC45A	LYRM4	RFX7	EIF3G	TRIP4	FDX2	GFER	DDX10	PIAS1	COL7A1	CDH8	EFNA3
ZNF268	TMEM30A	PCDHGB7	AGTRAP	DCP1B	VPS53	FEZ1	DAB2IP	ZNF28	CAPN15	BUB3	VSIG2	GRIN2D	BMF
PTS	RABGAP1L	FKBPL	SUPT4H1	NXT2	LEPROT	SMARCAD1	EHMT1	LARP7	CTBP1	PPP6R2	SLITRK2	TTLL11	IDH1
VPS26A	NEMF	MMACHC	FNTA	ITGAV	TMIGD3	ORAI2	NUDCD2	MTRF1	ING5	AGPAT1	ZNF695	MARCH11	DPY19L1
NSL1	ZNF16	MZT2B	ERCC1	TLK2	FIBIN	GOLGA6L9	CTSO	COMMD8	ALG8	ODC1	NRG2	ARHGAP33	IL13RA1
