nfactors	mean_cellscore_fraction
1	0.5348003296498094
2	0.7449071980566644
3	0.8534391913461924
4	0.9183833931490785
5	0.9558330804195629
6	0.9774587085522103
7	0.989550993586492
8	0.9956471808545035
9	0.9983755425489897
10	0.9994354666997183
11	0.9997819932945479
12	0.999909708324063
13	0.9999664070034388
14	1.0
