"class","observed","expected","enrichment","pValue"
"syn",484,501.6,0.965,0.79
"mis",1194,1126.8,1.06,0.0243
"lof",149,156.4,0.952,0.734
"prot",1343,1283.2,1.05,0.0499
"all",1827,1784.9,1.02,0.162
