"class","observed","expected","enrichment","pValue"
"syn",13,15.3,0.85,0.756
"mis",28,35.3,0.794,0.909
"lof",5,4.8,1.05,0.52
"prot",33,40.1,0.824,0.887
"all",46,55.4,0.831,0.911
