"class","observed","expected","enrichment","pValue"
"syn",23,21.8,1.05,0.43
"mis",50,46.6,1.07,0.331
"lof",10,5.9,1.7,0.0752
"prot",60,52.5,1.14,0.167
"all",83,74.4,1.12,0.172
