"class","observed","expected","enrichment","pValue"
"syn",21,21.3,0.987,0.554
"mis",50,46,1.09,0.297
"lof",10,5.9,1.71,0.074
"prot",60,51.9,1.16,0.145
"all",81,73.1,1.11,0.193
