"class","observed","expected","enrichment","pValue"
"syn",17,24.8,0.684,0.96
"mis",61,54.2,1.13,0.194
"lof",9,7.5,1.21,0.333
"prot",70,61.7,1.14,0.159
"all",87,86.5,1.01,0.493
