"class","observed","expected","enrichment","pValue"
"syn",7,14.8,0.474,0.991
"mis",30,31.6,0.951,0.633
"lof",3,4,0.756,0.757
"prot",33,35.5,0.929,0.686
"all",40,50.3,0.795,0.94
