"class","observed","expected","enrichment","pValue"
"syn",36,29.5,1.22,0.138
"mis",78,64.6,1.21,0.0576
"lof",12,9,1.33,0.199
"prot",90,73.6,1.22,0.0353
"all",126,103.2,1.22,0.0161
