"class","observed","expected","enrichment","pValue"
"syn",13,14.4,0.903,0.679
"mis",46,31.1,1.48,0.00737
"lof",2,4,0.505,0.905
"prot",48,35.1,1.37,0.0219
"all",61,49.5,1.23,0.062
