"class","observed","expected","enrichment","pValue"
"syn",699,741.7,0.942,0.945
"mis",1913,1666,1.15,1.78e-09
"lof",373,231.3,1.61,7.16e-18
"prot",2286,1897.3,1.2,2.9e-18
"all",2985,2638.9,1.13,2.19e-11
