nfactors	mean_cellscore_fraction
1	0.5180506570292633
2	0.7123800128146919
3	0.8198151050636897
4	0.8894594064720419
5	0.9346592769719494
6	0.9633765801334477
7	0.9808887721552668
8	0.9907234983265429
9	0.9959647417936677
10	0.9984270790231261
11	0.9994367229398836
12	0.999799414537173
13	0.9999129194957029
14	0.9999652232271338
15	1.0
