ntop	max_overlap	p_max	max2_overlap	p_max2
50	0	1.000000000019375	0	1.000000000019375
100	0	0.9999999999978719	0	0.9999999999978719
150	0	0.9999999999730439	0	0.9999999999730439
200	0	0.999999999989146	0	0.999999999989146
250	0	0.9999999999873581	0	0.9999999999873581
300	1	0.9990332615838333	0	0.9999999999805804
350	1	0.9999240286536961	0	1.0000000000017302
400	3	0.9996200403398803	3	0.9996200403398803
450	7	0.9947707294212647	4	0.9998804376385896
500	17	0.7045375222350343	5	0.9999731138281531
